How did Lincoln handle Fort Sumter?	He didn't send troops, he made the South decide whether to attack or not.
"<span class=""tags"">:</span><br /> Constantinople  "	A large and wealthy city that was the imperial capital of the Byzantine empire and later the Ottoman empire, now known as Istanbul
"<span class=""tags"">:</span><br /> Mestizo  "	A new racial concept that develops in Latin America following the intermixing that occurred between European colonists and the native American population.
"<span class=""tags"">:</span><br /> Divine Right of Kings  "	Doctrine that states that the right of ruling comes from God and not people's consent
"<span class=""tags"">:</span><br /> Glorious Revolution  "	Following the English Civil War, this event involve the British Parliament once again overthrowing their monarch in 1688-1689. James II was expelled and William and Mary were made king and queen. Marks the point at which Parliament made the monarchy powerless, gave themselves all the power, and wrote a bill of Rights. The whole thing was relatively peaceful and thus glorious.
"<span class=""tags"">:</span><br /> King Charles I  "	"The English monarch who was beheaded by Puritans (see English Civil War) who then established their own short-lived government ruled by Oliver Cromwell (1650s).         <div><img src=""quizlet-2110445157_aa00b8b992_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Tennis Court Oath  "	A pledge signed by all but one of the members of the Third Estate in France. Marks the first time the French formally opposed Louis XVI.
"<span class=""tags"">:</span><br /> Bourgeoisie  "	"A social class that derives social and economic power from employment, education, and wealth, as opposed to the inherited power of aristocratic family of titled land owners or feudal privileges. It's a term for the middle class common in the 19th century. It's characterized by their ownership of property and their related culture.         <div><img src=""quizlet-4127511528_9384113ff1_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Kepler  "	German astronomer and mathematician of the late 16th and early 17th centuries, known as the founder of celestial mechanics
"<span class=""tags"">:</span><br /> John Locke  "	17th century English philosopher who opposed the Divine Right of Kings and who asserted that people have a natural right to life, liberty, and property.
"<span class=""tags"">:</span><br /> Shakespeare  "	A popular English playwright and poet in the 16th century.
"<span class=""tags"">:</span><br /> Deism  "	A popular Enlightenment era belief that there is a God, but that God isn't involved in people's lives or in revealing truths to prophets.
"<span class=""tags"">:</span><br /> 95 Theses  "	"It was nailed to a church door in Wittenberg, Germany in 1517 and is widely seen as being the catalyst that started the Protestant Reformation. It contained Luther's list of accusations against the Roman Catholic Church.         <div><img src=""quizlet-3473206715_c0a36b54a5_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Indulgence  "	Within the Catholic Church, this is the remission punishment for ones sins. Such as for a sin that has already been forgiven by God but which still carries with it some kind of punishment. Centuries ago the Church would sell certificates that would get a person out of purgatory. This practice contributed to the Protestant reformation.
"<span class=""tags"">:</span><br /> Bartholomew Dias  "	Portuguese navigator that discovered the Cape of Good Hope in Southern Afica.
"<span class=""tags"">:</span><br /> Cortes  "	The Spanish conqueror of Mexico.
"<span class=""tags"">:</span><br /> Enconmienda  "	A labor system set up by the Spanish government where Spanish colonists could work the native Americans on their land while compensating them and agreeing to educate some of them and teach them about Christianity. The system was meant to curb exploitation but actually made the exploitation of Native Americans worse.
"<span class=""tags"">:</span><br /> Mita  "	When colonists were allowed to use Indians for forced labor in colonial South America as a form of taxation. The Inca had previously used a similar practice.
"<span class=""tags"">:</span><br /> Hacienda  "	"Spanish estates in the Americas that were often plantations. They often represent the gradual removal of land from peasant ownership and a type of feudalistic order where the owners of Haciendas would have agreements of loyalty to the capital but would retain control over the actual land. This continued even into the 20th century.         <div><img src=""quizlet-4867599805_28703e73df_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Mercantilism  "	Economic policy common to many absolute monarchies. Government control of foreign trade is of paramount importance for ensuring the military security of the country. In particular, it demands a positive balance of trade and desires new sources of gold and silver bullion, thus fueling more colonialism.
"<span class=""tags"">:</span><br /> Laissez Faire  "	The belief that the government shouldn't intervene much in the economy and should instead let the people do what they want with their property.
"<span class=""tags"">:</span><br /> Capitalism  "	Economic system with private and corporate ownership of property and competitive markets. However, since its origins in the 18th and 19th century it was also often correlated to large-scale collusion between governments and private industries such as through establishing royal charters, copyrights and patents, corporate law, and eventually even subsidies of taxpayer money to private industries.
"<span class=""tags"">:</span><br /> Nation-State  "	A modern concept of a government that controls an area and represents the people of that area, often idealized as a homogeneous people that share a common language and feeling of nationality.
"<span class=""tags"">:</span><br /> Leonardo da Vinci  "	"A well known Italian Renaissance artist, architect, musician, mathemetician, engineer, and scientist. Known for the Mona Lisa.         <div><img src=""quizlet-2921800713_ed3247e5dc_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Huguenot  "	A French Protestant
"<span class=""tags"">:</span><br /> Shogun  "	In feudal Japan, a noble similar to a duke. They were the military commanders and the actual rulers of Japan for many centuries while the Emperor was a powerless spiritual figure.
"<span class=""tags"">:</span><br /> Samurai  "	"A member of the warrior class in premodern feudal Japan         <div><img src=""quizlet-3106514493_776fbca024_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Aborigine  "	"The general named often used to describe the original inhabitants of Australia.         <div><img src=""quizlet-4076005182_7101a519fc_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Janissary  "	A slave soldier of the Ottoman Army
"<span class=""tags"">:</span><br /> Dar al-Islam  "	a term used by Muslims to refer to those countries where Muslims can practice their religion freely.
"<span class=""tags"">:</span><br /> Sufi  "	"A member of the more mystical third sect of Islam famous for their dance and their poetry.         <div><img src=""quizlet-167095955_7d608da40f_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Martin Luther  "	"The german monk who is widely regarded as the leader of the Protestnat Reformation. He was excommunicated by the Catholic church due to his opposition to certain practices and he began his own sect of Christianity in the 16th century.         <div><img src=""quizlet-3886222326_aeb8f70b84_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Enlightenment  "	"A popular philosophical movement of the 1700s that focused on human reasoning, natural science, political and ethical philosophy.         <div><img src=""quizlet-4465624270_a2889f1533_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Jamestown  "	The first permanent English settlement in North America, found in East Virginia
"<span class=""tags"">:</span><br /> Hundred Years War  "	"War between France and Britain, lasted 116 years, mostly a time of peace, but it was punctuated by times of brutal violence (1337 to 1453)         <div><img src=""quizlet-3599042771_1346087b15_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Colombian Exchange  "	The trading of various animals, diseases, and crops between the Eastern and Western hemispheres
"<span class=""tags"">:</span><br /> The Golden Triangle  "	Trade triangle between US, Britain, and Africa. Ships would take valued goods to Britain from America, get money, sail down to Africa, buy slaves, and take them back to America
"<span class=""tags"">:</span><br /> Colonization  "	The expansion of countries into other countries where they establish settlements and control the people
"<span class=""tags"">:</span><br /> Scientific Revolution  "	period in the 16th and 17th centuries where many thinkers rejected doctrines of the past dealing with the natural world in favor of new scientific ideas.
"<span class=""tags"">:</span><br /> Copernicus  "	"Devised a model of the universe with the Sun at the center, and not earth.         <div><img src=""quizlet-922289298_60bdda41bd_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Ming  "	"Chinese dynasty between 1368-1644. Economy flourished and the government even explored the Indian Ocean through many expeditions led by Zheng He. Ultimately they were taken over by the Manchurians from the North in 1644.         <div><img src=""quizlet-3245812350_83283cb40d_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Gunpowder  "	Invented within China during the 9th century, this substance was became the dominate military technology used to expand European and Asian empires by the 15th century.
"<span class=""tags"">:</span><br /> Christopher Columbus  "	He mistakenly discovered the Americas in 1492 while searching for a faster route to India.
"<span class=""tags"">:</span><br /> Empiricism  "	theory that all knowledge originates from experience. It emphasizes experimentation and observation in order to truly know things.
"<span class=""tags"">:</span><br /> Philosophes  "	Writers during the Enlightenment and who popularized the new ideas of the time.
"<span class=""tags"">:</span><br /> Concordat  "	the peace agreement made between Napoleon and the Pope following the chaos of the French Revolution.
"<span class=""tags"">:</span><br /> Marie Curie  "	"Notable female Polish/French chemist and physicist around the turn of the 20th century. Won two nobel prizes. Did pioneering work in radioactivity.         <div><img src=""quizlet-2627394629_6f86ff889a_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Albert Einstein  "	German physicist, father of modern quantum physics.
"<span class=""tags"">:</span><br /> Sigmund Freud  "	Austrian neurologist known for his work on the unconscious mind. Father of psychoanalysis.
"<span class=""tags"">:</span><br /> Cixi  "	"Ultraconservative empress in Qing (Manchu) dynasty China. Ruled china in the turbulent late 19th century, not as a true Empress but as an Empress Dowager.         <div><img src=""quizlet-3644049540_362bea45b3_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Guomindang  "	Political party that ruled China from 1911 to 1949; enemy of the Communists. Often abbreviated at GMD.
"<span class=""tags"">:</span><br /> creole  "	Descendants of the Europeans in Latin America, usually implies an upper class status.
"<span class=""tags"">:</span><br /> Porfirio Diaz  "	"Dictator in Mexico from 1876 to 1911. Overthrown by the Mexican Revolution of 1910.         <div><img src=""quizlet-3902555118_aec7703cba_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Pancho Villa  "	"This military leader dominated Northern Mexico during the Mexican Revolution between 1910 and 1915. His supporters seized hacienda land for distribution to peasants and soldiers. He robbed and commandeered trains. Allied with Zapata. He was eventually defeated though before the revolution ended in 1920.         <div><img src=""quizlet-3001713862_ff354558bd_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Zapata  "	"Revolutionary Leader in Mexico during the Mexican Revolution who originated from the lower classes and was especially appealing to the peasants because he wanted to take land from the haciendas and return it to them.         <div><img src=""quizlet-4308675698_c36c9827a5_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Young Turks  "	"A coalition starting in the late 1870s of various groups favoring modernist liberal reform of the Ottoman Empire. It was against monarchy of Ottoman Sultan and instead favored a constitution. In 1908 they succeed in establishing a new constitutional era.         <div><img src=""quizlet-1167362334_58f1055910_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Franz Ferdinand  "	"Archduke of Austria-Hungary assassinated by a Serbian nationalist. A major catalyst for WWI.         <div><img src=""quizlet-5401633881_6a3ba6e490_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Bolsheviks  "	"The Marxist revolutionaries who eventually gain control of Russia in 1917.         <div><img src=""quizlet-6438998007_0c3a71f45d_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Vladimir Lenin  "	Leader Russia's Bolshevik movement.
"<span class=""tags"">:</span><br /> Lusitania  "	"British passenger ship holding Americans that sunk off the coast of Ireland in 1915 by German U-Boats killing 1,198 people. It was decisive in turning public favor against Germany and bringing America into WWI.         <div><img src=""quizlet-4130631204_c27aa8c310_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Zimmerman telegram  "	This was sent by Germans to encourage a Mexican attack against the United States. Intercepted by the US in 1917.
"<span class=""tags"">:</span><br /> Fourteen Points  "	Woodrow Wilson's post WWI plan, most of which was rejected by European leaders following the war.
"<span class=""tags"">:</span><br /> Treaty of Versailles  "	Treaty particularly known for its harsh reparations towards the Germans after World War I.
"<span class=""tags"">:</span><br /> League of Nations  "	"Diplomatic organization created after World War I. Proposed by Wilson but the US did not join. The organization is widely regarded as a huge failure.         <div><img src=""quizlet-7112270221_ebbe8d3f25_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Joseph Stalin  "	Leader of the Soviet Union after the death of Vladimir Lenin.
"<span class=""tags"">:</span><br /> Collectivization  "	"The process seen in the Soviet Union and Communist China to form communal work units for agriculture and manufacturing--from private hands to large, collective, government operations.         <div><img src=""quizlet-8562571768_f197a90319_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Franklin D. Roosevelt  "	President of the United States during most of the Depression and most of World War II.
"<span class=""tags"">:</span><br /> Civilian Conservation Corps  "	"A major public works program in the United States during the Great Depression.         <div><img src=""quizlet-3554423959_f9833eea90_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Fascism  "	A political theory advocating an authoritarian hierarchical ultra-nationalist government. Favors nationalizing economic elites rather than promoting egalitarian socialist collectivization.
"<span class=""tags"">:</span><br /> Benito Mussolini  "	"Italian politician who led the National Fascist Party and created Fascism         <div><img src=""quizlet-8094115451_7bea207a0a_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Adolf Hitler  "	German leader of the Nazi Party.
"<span class=""tags"">:</span><br /> Nazism  "	National socialism. In practice a far-right wing ideology (with some left-wing influences) that was based largely on racism and ultra-nationalism.
"<span class=""tags"">:</span><br /> Weimar Republic  "	German republic founded after the WWI and the downfall of the German Empire's monarchy.
"<span class=""tags"">:</span><br /> Mein Kampf  "	"Influential book Written by Adolf Hitler describing his life and ideology.         <div><img src=""quizlet-4285647638_1586b9b2f3_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Totalitarianism  "	Government ruled by a single party and/or person that exerts unlimited control over its citizen's lives.
"<span class=""tags"">:</span><br /> Zaibatsu  "	"Large conglomerate corporations through which key elite families exerted a great deal of political and economic power in Imperial Japan. By WWII, four of them controlled most of the economy of Japan.         <div><img src=""quizlet-2335652545_4228e762fa_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Francisco Franco  "	"Spanish general whose armies took control of Spain in 1939 and who ruled as a dictator until his death         <div><img src=""quizlet-3924823169_5837efc583_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Sudetenland  "	Land that Germany thought was rightfully theirs due to the large German speaking population
"<span class=""tags"">:</span><br /> Winston Churchill  "	"British statesman and leader during World War II; received Nobel prize for literature in 1953         <div><img src=""quizlet-3007483870_9a04e55a94_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Suez Canal  "	"A ship canal in northeastern Egypt linking the Red Sea with the Mediterranean Sea         <div><img src=""quizlet-2195082381_b11789e35a_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Tito  "	Yugoslav statesman who led the resistance to German occupation during World War II and established a communist state after the war
"<span class=""tags"">:</span><br /> Holocaust  "	Mass murder of Jews under the Nazi Regime
"<span class=""tags"">:</span><br /> Comfort girls  "	Women forced into prostitution by the Japanese during WWII. The women came from countries in East and Southeast Asia as Japan's empire expanded.
"<span class=""tags"">:</span><br /> Nuremberg Trials  "	"One key set of trials held for certain Germans accused of war crimes.         <div><img src=""quizlet-2613626049_72a7678111_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Berlin Blockade  "	Soviet blocking of Berlin from allies; Causing the Berlin Airlift
"<span class=""tags"">:</span><br /> NATO  "	Alliance of the allied powers against the Soviets
"<span class=""tags"">:</span><br /> Warsaw Pact  "	"Alliance against democracy, supporting communism         <div><img src=""quizlet-3812794097_a92b635342_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> McCarthyism  "	"The act of accusing people of disloyalty and communism         <div><img src=""quizlet-4775653106_17a2c7efed_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Hydrogen bomb  "	"A thermonuclear bomb which uses the fusion of isotopes of hydrogen         <div><img src=""quizlet-4142181687_ecb6d8ecf2_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Nikita Khrushchev  "	A Soviet leader during the Cuban Missile Crisis. Also famous for denouncing Stalin and allowed criticism of Stalin within Russia.
"<span class=""tags"">:</span><br /> gulag  "	"Russian prison camp for political prisoners         <div><img src=""quizlet-5615218665_aee87408a2_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Leonid Brezhnev  "	"Soviet leader from 1962 to 1984 who is most known internationally for actions such as his hard-line stance against the pro-democracy Prague Spring protesters in 1968 and well as overseeing Russia's long, costly, and futile war in Afghanistan.         <div><img src=""quizlet-8401681363_1ce878ba27_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Proxy war  "	A war instigated by a major power that does not itself participate
"<span class=""tags"">:</span><br /> Fidel Castro  "	"Cuban socialist leader who overthrew a dictator in 1959 and established a Marxist socialist state in Cuba         <div><img src=""quizlet-203660824_3df07388b8_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> John F. Kennedy  "	President of the US during the Bay of Pigs Invasion and the Cuban Missile Crisis
"<span class=""tags"">:</span><br /> Gamal Abdel Nasser  "	"He led the coup which toppled the monarchy of King Farouk and started a new period of modernization and socialist reform in Egypt         <div><img src=""quizlet-348991118_69d7b55a66_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Aswan High Dam  "	"One of the world's largest dams on the Nile River in southern Egypt. A key project under Gama Abdel Nasser.         <div><img src=""quizlet-1319312287_f9bf1c3a38_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Charles de Gaulle  "	French General who founded the French Fifth Republicn in 1958 and served as its first President from 1959 to 1969
"<span class=""tags"">:</span><br /> Khomeini  "	"leader of the 1979 Iranian Revolution         <div><img src=""quizlet-515002010_38424fb2d6_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> OPEC  "	An international oil cartel originally formed in 1960. Represents the majority of all oil produced in the world. Attempts to limit production to raise prices. It's long name is the Organization of Petroleum Exporting Countries.
"<span class=""tags"">:</span><br /> Sandinista  "	"Rebel forces in Nicaragua who struggled against what they saw as US occupation of their nation and US backed puppet rulers in their nation's government. Particularly active in the 1970s and 1980s. The US frequently arranged groups to fight against these rebels, sometimes covertly as in the case of the Iran-Contra Affair.         <div><img src=""quizlet-165004116_2a67eedc4b_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Zionism  "	"A Jewish movement starting in the 1800s that resulted in the migration of Jews to Palestine and the establishment of the state of Israel in 1948.         <div><img src=""quizlet-3332870741_7e5a766862_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Delhi Sultanate  "	"The first Islamic government established within India from 1206-1520. Controled a small area of northern India and was centered in Delhi.         <div><img src=""quizlet-2578126632_1908711aa3_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Timur  "	"Sometimes known as Tamerlane, this was the Central Asian leader of a Mongol tribe who attempted to re-establish the Mongol Empire in the late 1300's. His empire included Persia (Iran) and many surrounding lands. He is the great great grandfather of Babur. who later founds the Mughal Empire in India.         <div><img src=""quizlet-8218512667_6433df25a7_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Khmer Empire  "	"Aggressive empire in Cambodia and Laos that collapsed in the 1400's when Thailand conquered Cambodia         <div><img src=""quizlet-375297191_117ba5687c_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Maori  "	"New Zealand indigenous culture established around 800 CE         <div><img src=""quizlet-2488495943_581c3bc8d0_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Pax Mongolica  "	The period of approximately 150 years of relative peace and stability created by the Mongol Empire.
"<span class=""tags"">:</span><br /> Ghana  "	West African state that supplied the majority of the world's gold from 500 CE-1400's
"<span class=""tags"">:</span><br /> Habsburg  "	"German princely family who ruled in alliance with the Holy Roman Empire and controlled most of Central Europe         <div><img src=""quizlet-2933160200_522969ba95_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Witchcraft  "	Many people (mostly women) were accused of this and burned at the stake in medieval and early modern Europe.
"<span class=""tags"">:</span><br /> Humanism  "	Philosophy that celebrates human cultural achievements and emphasizes human reason and ethics.
"<span class=""tags"">:</span><br /> Hadith  "	Traditional records of the deeds of Muhammad, and his quotations
"<span class=""tags"">:</span><br /> Marco Polo  "	Italian explorer who wrote about his travels to Central Asia and China.
"<span class=""tags"">:</span><br /> Mongol Empire  "	Largest land empire in the history of the world, spanning from Eastern Europe across Asia.
"<span class=""tags"">:</span><br /> Henry The Navigator  "	"This Portuguese prince who lead an extensive effort to promote seafaring expertise in the 14th century. Sent many expedition to the coast of West Africa in the 15th century, leading Portugal to discover a route around Africa, ultimately to India.         <div><img src=""quizlet-518306452_59b046fd2d_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Abbasid Caliphate  "	"Descendants of the Prophet Muhammad's uncle, al-Abbas, they overthrew the Umayyad Caliphate and ruled an Islamic empire from their capital in Baghdad (founded 762) from 750 to 1258.         <div><img src=""quizlet-7253374490_dd679075b9_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Adolf Hitler  "	Born in Austria, became a radical German nationalist during World War I. He became dictator of Germany in 1933. He led Europe into World War II.
"<span class=""tags"">:</span><br /> African National Congress  "	"An organization dedicated to obtaining equal voting and civil rights for black inhabitants of South Africa. Founded in 1912 as the South African Native National Congress, it changed its name in 1923. Eventually brought greater equality.         <div><img src=""quizlet-3198167239_1de177c34f_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Afrikaners  "	South Africans descended from Dutch and French settlers of the seventeenth century. Their Great Trek founded new settler colonies in the nineteenth century. Though a minority among South Africans, they held political power after 1910.
"<span class=""tags"">:</span><br /> Agricultural Revolution  "	The change from food gathering to food production that occurred between around 8000 and 2000 B.C.E. Also known as the Neolithic Revolution.
"<span class=""tags"">:</span><br /> Akbar  "	"Most illustrious sultan of the Mughal Empire in India (r. 1556-1605). He expanded the empire and pursued a policy of conciliation with Hindus.         <div><img src=""quizlet-65796665_20a0c1916a_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Akhenaten  "	Egyptian pharaoh (r. 1353-1335 B.C.E.). He built a new capital at Amarna, fostered a new style of naturalistic art, and created a religious revolution by imposing worship of the sun-disk.
"<span class=""tags"">:</span><br /> Albert Einstein  "	German physicist who developed the theory of relativity, which states that time, space, and mass are relative to each other and not fixed.
"<span class=""tags"">:</span><br /> Alexandria  "	City on the Mediterranean coast of Egypt founded by Alexander. It became the capital of the Hellenistic kingdom of Ptolemy. It contained the famous Library and the Museum and was a center for leading scientific and literary figures in the classical and postclassical eras.
"<span class=""tags"">:</span><br /> Alexander the Great  "	"Between 334 and 323 B.C.E. he conquered the Persian Empire, reached the Indus Valley, founded many Greek-style cities, and spread Greek culture across the Middle East.         <div><img src=""quizlet-135519888_7c04639852_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> All-India Muslim League  "	Political organization founded in India in 1906 to defend the interests of India's Muslim minority. Led by Muhammad Ali Jinnah, it attempted to negotiate with the Indian National Congress. Demanded the partition of a Muslim Pakistan.
"<span class=""tags"">:</span><br /> Enclosure Movement  "	The 18th century privatization of common lands in England, which contributed to the increase in population and the rise of industrialization.
"<span class=""tags"">:</span><br /> aqueduct  "	"A conduit, either elevated or under ground, using gravity to carry water from a source to a location-usually a city-that needed it. The Romans built many of these in a period of substantial urbanization.         <div><img src=""quizlet-179350752_88af6bf3e5_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Armenia  "	"One of the earliest Christian kingdoms, situated in eastern Anatolia (east of Turkey today) and the western Caucasus and occupied by speakers of the Armenian language. The Ottoman Empire is accused of systematic mass killings of Armenians in the early 20th century.         <div><img src=""quizlet-915677403_d731b0e741_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Asante  "	African kingdom on the Gold Coast that expanded rapidly after 1680. A major participant in the Atlantic economy, trading gold, slaves, and ivory. It resisted British imperial ambitions for a quarter century before being absorbed into Britain.
"<span class=""tags"">:</span><br /> Asoka  "	"Third ruler of the Mauryan Empire in India (r. 270-232 B.C.E.). He converted to Buddhism and broadcast his precepts on inscribed stones and pillars, the earliest surviving Indian writing.         <div><img src=""quizlet-31157544_f416b1b974_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Asian Tigers  "	Collective name for South Korea, Taiwan, Hong Kong, and Singapore-nations that became economic powers in the 1970s and 1980s.
"<span class=""tags"">:</span><br /> Atahualpa  "	"Last ruling Inca emperor of Peru. He was executed by the Spanish.         <div><img src=""quizlet-3970908347_d321d5dc72_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Atlantic  "	"After 1500, world economic activity gradually began to shift toward this body of water, noncontributing to the rise of Western European colonialism and economic dominance in the world.         <div><img src=""quizlet-8072356872_219959a646_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Caesar Augustus  "	"He established his rule after the death of Julius Caesar and he is considered the first Roman Emperor.         <div><img src=""quizlet-5715134914_151a2cb521_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Auschwitz  "	"Nazi extermination camp in Poland, the largest center of mass murder during the Holocaust. Close to a million Jews, Gypsies, Communists, and others were killed there. (p. 800)         <div><img src=""quizlet-28787369_2791aa0e89_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Ayatollah Khomeini  "	"Shi'ite philosopher and cleric who led the overthrow of the shah of Iran in 1979 and created an Islamic Republic of Iran.         <div><img src=""quizlet-8147633141_5a3bc1ba22_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Aztecs  "	"Also known as Mexica, they created a powerful empire in central Mexico (1325-1521 C.E.). They forced defeated peoples to provide goods and labor as a tax.         <div><img src=""quizlet-6535626443_a96ac9d55c_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Babylon  "	"The largest and most important city in Mesopotamia. It achieved particular eminence as the capital of the king Hammurabi in the eighteenth century B.C.E. and the Neo-Babylonian king Nebuchadnezzar in the sixth century B.C.E. (p. 29)         <div><img src=""quizlet-4602228038_92870b8775_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Balfour Declaration  "	Statement issued by Britain's Foreign Secretary Arthur Balfour in 1917 favoring the establishment of a Jewish national homeland in Palestine.
"<span class=""tags"">:</span><br /> Bantu  "	"A major African language family. Collective name of a large group of sub-Saharan African languages and of the peoples speaking these languages. Famous for migrations throughout central and southern Africa.         <div><img src=""quizlet-6186761723_240c44f4d4_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Bartolome de Las Casas  "	"First bishop of Chiapas, in southern Mexico. He devoted most of his life to protecting Amerindian peoples from exploitation. His major achievement was the New Laws of 1542, which limited the ability of Spanish settlers to compel Amerindians to labor.         <div><img src=""quizlet-5636529499_2455711b1c_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Bartolomeu Dias  "	"Portuguese explorer who in 1488 led the first expedition to sail around the southern tip of Africa from the Atlantic and sight the Indian Ocean.         <div><img src=""quizlet-6127088711_5e29f8dfa6_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Battle of Midway  "	U.S. naval victory over the Japanese fleet in June 1942, in which the Japanese lost four of their best aircraft carriers. It marked a turning point in the pacific theater of World War II.
"<span class=""tags"">:</span><br /> Beijing  "	"China's northern capital, first used as an imperial capital in 906 and now the capital of the People's Republic of China.         <div><img src=""quizlet-5616494861_c0e16617a7_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Bengal  "	Region of northeastern India. It was the first part of India to be conquered by the British in the eighteenth century and remained the political and economic center of British India throughout the nineteenth century. Today this region includes part of Eastern India and all of Bangladesh.
"<span class=""tags"">:</span><br /> Benito Mussolini  "	"Fascist dictator of Italy (1922-1943). He led Italy to conquer Ethiopia (1935), joined Germany in the Axis pact (1936), and allied Italy with Germany in World War II. He was overthrown in 1943 when the Allies invaded Italy.         <div><img src=""quizlet-2629711091_cc0dfc386c_m.jpg"" /></div>         "
"<span class=""tags"">:</span><br /> Benjamin Franklin  "	American intellectual, inventor, and politician He helped to negotiate French support for the American Revolution.
"<span class=""tags"">:</span><br /> Berlin Conference  "	Conference that German chancellor Otto von Bismarck called to set rules for the partition of Africa. It led to the creation of the Congo Free State under King Leopold II of Belgium.
"<span class=""tags"">:</span><br /> Bhagavad-Gita  "	The most important work of Indian sacred literature, a dialogue between the great warrior Arjuna and the god Krishna on duty and the fate of the spirit.
"<span class=""tags"">:</span><br /> Black Death  "	The common name for a major outbreak of plague that spread across Asia, North Africa, and Europe in the mid-fourteenth century, carrying off vast numbers of persons.
"<span class=""tags"">:</span><br /> Bolsheviks  "	Radical Marxist political party founded by Vladimir Lenin in 1903. They eventually seized power in Russia in 1917.
"<span class=""tags"">:</span><br /> bourgeoisie  "	In early modern Europe, the class of well-off town dwellers whose wealth came from manufacturing, finance, commerce, and allied professions.
